 time t = 0
 77839682.7321 0 -1 41148.3848 14  2
 78833178.9226 0 -1 41148.3848 14  3
 156672861.633 0 -1 41148.3848 14  4
 1590405748.34 0 0 41148.3848 14  2
 3863130.93697 0 0 41148.3848 14  3
 1173897.52659 0 0 41148.3848 14  4
 time t = 6.56623801184e-009
 6992843.28438 0 -1 10000 2  0
 942733008.411 0 0 41148.3848 2  6
 1179481789.3 0 0 41148.3848 2  7
 1179481789.23 0 0 41148.3848 2  8
 1179481789.09 0 0 41148.3848 2  9
 972838240.108 0 0 41148.3848 2  13
 110.500720391 0 0 41148.3848 2  14
 634539458.017 0 0 41148.3848 2  15
 1695234492.05 0 0 41148.3848 2  16
 1024112148.94 0 0 41148.3848 2  17
 time t = 6.57595580051e-009
 156671192.933 0 -1 41148.23871 7  2
 156671192.933 0 -1 41148.23871 7  3
 930764441.608 0 0 41148.3848 7  2
 930764441.759 0 0 41148.3848 7  3
 time t = 6.78573673482e-009
 6992843.28438 0 -1 10000 2  0
 875926912.17 0 0 41148.3848 2  6
 1129086849.99 0 0 41148.3848 2  7
 1079310003.02 0 0 41148.3848 2  8
 1029533156.4 0 0 41148.3848 2  9
 788300102.858 0 0 41148.3848 2  13
 444057.84271 0 0 41148.3848 2  14
 354289901.638 0 0 41148.3848 2  15
 1029844743.64 0 0 41148.3848 2  16
 1766433759.56 0 0 41148.3848 2  17
 time t = 6.81672145371e-009
 79981947.9001 0 -1 41148.3848 13  2
 76690913.7534 0 -1 41148.3848 13  3
 156672861.634 0 -1 41148.3848 13  4
 663099796.262 0 0 41148.3848 13  2
 759476589.504 0 0 41148.3848 13  3
 1420942173.15 0 0 41148.3848 13  4
 time t = 7.25161819367e-009
 6992843.27789 0 -1 10000 4  0
 1751324557.58 0 0 41148.3848 4  6
 2462998.0713 0 0 41148.3848 4  7
 2155504849.92 0 0 41148.3848 4  9
 4864810.20373 0 0 41148.3848 4  13
 3.81487987583 0 0 41148.3848 4  14
 1816694438.39 0 0 41148.3848 4  15
 901113.761923 0 0 41148.3848 4  16
 2418586089.81 0 0 41148.3848 4  17
 time t = 7.32085902222e-009
 80683959.2474 0 -1 41148.3848 17  2
 75988902.4037 0 -1 41148.3848 17  3
